participant_id_3,time_point,knowledge_general_score,knowledge_warning_score,knowledge_appropriate_score,knowledge_helpful_score,system_support_score,status,inclusive_status,region,attitude_general_score,attitude_acceptability_score,attitude_genderroles_score,attitude_profroles_score,empathy_score,confidence_score,practice_score
65,2,78.94736842105263,77.77777777777779,80,90,66.66666666666666,One & two only,One & two inclusive,Atsabe,47.5,21.428571428571427,79.16666666666666,54.166666666666664,79.6875,52.5,NA
66,2,89.47368421052632,100,100,80,66.66666666666666,One & two only,One & two inclusive,Atsabe,70,100,75,62.5,81.25,57.49999999999999,NA
62,2,68.42105263157895,100,100,80,100,All three,One & two inclusive,Atsabe,42.5,100,79.16666666666666,50,85.9375,67.5,NA
69,2,89.47368421052632,77.77777777777779,100,70,83.33333333333334,All three,One & two inclusive,Atsabe,70,100,75,50,85.9375,75,NA
67,2,89.47368421052632,77.77777777777779,80,80,100,One & two only,One & two inclusive,Atsabe,55.00000000000001,57.14285714285714,50,54.166666666666664,48.4375,45,NA
70,2,84.21052631578947,100,60,70,100,All three,One & two inclusive,Atsabe,52.5,57.14285714285714,50,83.33333333333334,60.9375,57.49999999999999,NA
79,2,68.42105263157895,88.88888888888889,100,80,66.66666666666666,One & two only,One & two inclusive,Atsabe,70,100,100,83.33333333333334,79.6875,67.5,NA
473,2,57.89473684210527,55.55555555555556,100,50,100,One & two only,One & two inclusive,Atsabe,52.5,28.57142857142857,54.166666666666664,58.333333333333336,70.3125,45,66.66666666666666
76,2,78.94736842105263,66.66666666666666,80,90,66.66666666666666,All three,One & two inclusive,Atsabe,75,71.42857142857143,50,58.333333333333336,87.5,65,NA
78,2,68.42105263157895,100,40,60,50,All three,One & two inclusive,Atsabe,42.5,100,66.66666666666666,75,57.8125,30,NA
74,2,89.47368421052632,77.77777777777779,60,70,66.66666666666666,One & two only,One & two inclusive,Atsabe,55.00000000000001,28.57142857142857,41.66666666666667,37.5,64.0625,60,NA
60,2,73.68421052631578,77.77777777777779,100,90,100,All three,One & two inclusive,Atsabe,60,85.71428571428571,75,58.333333333333336,92.1875,75,NA
68,2,89.47368421052632,100,60,100,100,One & two only,One & two inclusive,Atsabe,65,100,79.16666666666666,58.333333333333336,45.3125,45,NA
